ARTNR;NAME;NACHLASS ERLAUBT;AUSSER HAUS / IM HAUS ERLAUBT;FREIE PREISEINGABE;0 PREIS VERBOTEN;MEHRFACHNACHLASS VERBOTEN;MAX BETRAG;BUCHUNGSTEXT;BILDNAME;SCHRIFTGROESSE;SCHRIFTFARBE;HINTERGRUNDFARBE;X;Y;MINUSPREIS;VERSTECKEN;WARENGRUPPE;PFANDBETRAG;UNTERARTIKEL;FOLGT WG;ORDERTEXT;NUR GANZE MENGEN;UWG;TASTENTEXT;MINDESTMENGE;GESPERRT;HAUPTMENUE;PROVISION;NEGATIVBESTAND;MINIMALBESTAND;BESTANDSWARNFARBE;ARTIKELEBENE;STARTZEIT;ENDZEIT;EINKAUFSPREIS;KEINNULLPREISDRUCK;ORDERGRUPPE;ORDERREIHENFOLGE;STEUERSATZ;PREIS1
1;Divers 19%;1;0;1;1;1;0;;71x57_yellow.bmp;;;;;;0;0;Divers 19%;;0;0;;0;;;0;0;0;0;0;0;;0;;;0;0;;;19;0
2;Divers 7%;1;1;1;1;1;0;;71x57_yellow.bmp;;;;;;0;0;Divers 7%;;0;0;;0;;;0;0;0;0;0;0;;0;;;0;0;;;19;0
